_id,map,objectId,name, xPos, yPos, foothold, minClickPos, maxClickPos, unused, facesLeft
1,801000002,9120103,"Saeko",-262,-58,9,-312,-212,0,false
2,801000002,9120102,"Hikekuro",-260,159,10,-310,-210,0,true
3,889100000,9105004,"Snow Spirit",85,-26,33,70,110,0,false
4,889100000,9105005,"Snowman",-406,154,10,-456,-356,0,false
24,889100010,9105004,"Snow Spirit",85,-26,33,70,110,0,false
25,889100010,9105005,"Snowman",-423,154,10,-473,-373,0,false
41,801040004,9120201,"Konpei",1402,161,9,1352,1452,0,false
95,889100011,9105004,"Snow Spirit",176,-86,20,160,200,0,false
96,889100011,9105005,"Snowman",-557,154,1,-607,-507,0,false
100,809050015,9103000,"Pietri",-231,104,5,-277,-181,0,false
138,800000000,9110004,"Taru",3943,49,268,3928,3993,0,false
139,800000000,9110005,"Bronze",3093,56,264,3043,3143,0,false
140,800000000,9110006,"Jin Jia",2727,55,260,2711,2767,0,false
141,800000000,9110007,"Robo",3527,95,204,3477,3577,0,false
142,800000000,9110002,"Kino Konoko",4810,-145,1,4760,4860,0,false
143,800000000,9100105,"Gachapon",4660,95,218,4610,4710,0,false
144,800000000,9000020,"Spinel",306,155,167,256,356,0,false
145,800000000,9110003,"Janken",1695,59,160,1645,1745,0,false
146,800000000,9270012,"Mushroom Shine Maple TV",1294,95,181,1244,1344,0,false
147,800000000,9010010,"Cassandra",2003,95,191,1953,2053,0,false
148,800000000,1022101,"Rooney",2209,95,190,2159,2259,0,false
149,800000000,9000017,"Coco",968,95,178,918,1018,0,false
150,800000000,2041017,"Ace of Hearts",823,95,176,773,873,0,false
151,800000000,9010022,"Dimensional Mirror",5219,95,179,5169,5269,0,false
192,889100021,9105004,"Snow Spirit",190,-26,58,140,200,0,false
193,889100021,9105005,"Snowman",-576,154,1,-626,-526,0,false
243,809050016,9103002,"Rolly",13,112,1,-31,63,0,true
256,889100001,9105004,"Snow Spirit",176,-86,36,160,200,0,false
257,889100001,9105005,"Snowman",-557,154,10,-607,-507,0,false
261,889100020,9105004,"Snow Spirit",85,-26,33,70,110,0,false
262,889100020,9105005,"Snowman",-408,154,10,-458,-358,0,false
263,809050017,9103003,"Rolly",-27,112,1,-77,23,0,false
286,809000101,9100106,"Gachapon",-339,212,8,-389,-289,0,false
287,801040000,9120200,"Konpei",-249,-25,9,-299,-199,0,true
362,801040101,9120203,"Konpei",270,-25,10,220,320,0,false
369,801040100,9120202,"Konpei",-706,161,8,-756,-656,0,true
409,801000000,9120003,"Hikari",669,155,33,619,719,0,false
410,801000000,9120017,"Poni Chai",1403,155,41,1353,1453,0,false
411,801000000,9120009,"Yuse",2629,155,37,2579,2679,0,false
412,801000000,9120018,"Grako",201,155,58,151,251,0,false
413,801000000,9120014,"Popo",-1296,155,79,-1346,-1246,0,false
414,801000000,9120015,"Konpei",-91,155,64,-141,-41,0,true
415,801000000,9120012,"Fraidy Cat",-184,44,94,-234,-134,0,false
416,801000000,9120013,"Boss Kitty",2158,155,52,2108,2208,0,false
417,801000000,9120011,"Sakura",-1039,155,72,-1089,-989,0,false
418,801000000,9010000,"Maple Administrator",2429,65,3,2379,2479,0,false
419,801000000,9270013,"Showa Maple TV",-1591,155,80,-1641,-1541,0,false
420,801000000,2041017,"Ace of Hearts",1005,155,35,955,1055,0,false
421,801000000,9000017,"Coco",1156,155,36,1106,1206,0,false
601,801000200,9120019,"Momoyo",-156,125,8,-206,-106,0,false
602,801000001,9120100,"Tepei",62,160,3,12,112,0,false
603,801000001,9120101,"Midori",-203,160,3,-253,-153,0,false
604,801000300,9120002,"Doran",-1109,155,31,-1159,-1059,0,false
605,801000300,9120005,"Umi",-656,155,44,-706,-606,0,false
606,801000300,9120008,"Tsuri",-177,155,54,-227,-127,0,false
607,801000300,9120000,"Shinta",690,155,26,640,740,0,false
608,801000300,9120001,"Hanako",794,155,18,744,844,0,false
609,801000300,9120006,"Skai",2023,125,4,1973,2073,0,false
610,801000300,9120007,"Furano",2276,155,70,2226,2326,0,false
611,801000300,9120010,"Faito",1373,155,33,1323,1423,0,true
612,801000300,9120016,"Mariwaka",1802,155,40,1752,1852,0,true
613,801000300,9120023,"YokoYoko",2687,155,74,2637,2737,0,false
653,801000100,9120004,"Momoyo",-160,125,8,-210,-110,0,false
698,809000201,9100107,"Gachapon",-348,212,8,-391,-298,0,true
732,889100100,9105004,"Snow Spirit",82,154,8,32,132,0,false
733,109090300,9000053,"Big Bad Wolf ",978,-445,121,928,1028,0,false
734,109090300,9000052,"Courageous Little Lamb  ",-659,-445,220,-709,-609,0,true
749,109080000,9000012,"Harry",232,-203,488,182,282,0,false
767,106021400,1300012,"Door to East Castle Tower",271,-698,74,221,308,0,false
768,100000100,1012002,"Vicious",1405,-56,4,1355,1455,0,false
769,100000100,1012004,"Doofus",3371,-116,63,3321,3421,0,false
770,100000100,9100100,"Gachapon",512,154,119,462,562,0,false
783,100000103,1052004,"Denma the Owner",-53,181,8,-103,-3,0,true
784,100000103,1052005,"Dr. Feeble",52,181,8,2,102,0,false
785,100000103,9200100,"Dr. Lenu",67,-56,3,17,117,0,false
842,108000402,1072007,"Thief Job Instructor",50,-989,138,0,100,0,false
896,100000202,1012006,"Trainer Bartos",-2108,236,37,-2122,-2107,0,false
897,100000202,1012004,"Doofus",413,154,329,363,463,0,false
898,100000202,1012007,"Trainer Frod",-1593,-1586,383,-1643,-1543,0,false
899,100000202,9102100,"?",-1554,-1586,384,-1604,-1512,0,false
900,100000202,9102101,"?",-1730,-1166,259,-1780,-1692,0,false
901,100000202,9102101,"?",-1254,-926,226,-1278,-1242,0,false
902,100000202,9102101,"?",-1813,-994,268,-1813,-1789,0,false
903,100000202,9102101,"?",-908,-626,218,-958,-858,0,false
904,100000202,9102101,"?",-1360,-664,104,-1410,-1310,0,false
905,100000202,9102101,"?",-1583,-527,98,-1583,-1543,0,false
906,100000202,9102101,"?",-1579,-56,299,-1629,-1529,0,false
907,100000202,9102101,"?",-1365,207,31,-1415,-1315,0,false
908,100000202,9102101,"?",-240,154,324,-290,-190,0,false
909,100000202,9102101,"?",-57,34,184,-107,-7,0,false
910,100000202,9102101,"?",517,154,330,467,567,0,false
911,100000202,9102101,"?",994,-116,21,944,1044,0,false
912,100000202,9102101,"?",1233,154,370,1183,1283,0,false
913,100000203,1012008,"Casey",1079,214,1,1029,1129,0,false
914,100000205,9901720,NULL,0,1,3,-50,50,0,false
915,100000205,9901721,NULL,-73,-116,1,-123,-23,0,false
916,100000205,9901722,NULL,75,-115,2,25,125,0,false
917,100000205,9901723,NULL,-130,81,6,-180,-80,0,false
918,100000205,9901724,NULL,132,81,7,82,182,0,false
919,100000205,9901725,NULL,3,137,8,-47,53,0,false
920,100000205,9901726,NULL,-261,3,4,-279,-211,0,false
921,100000205,9901727,NULL,259,6,5,209,281,0,false
922,100000205,9901728,NULL,-195,162,9,-245,-145,0,false
923,100000205,9901729,NULL,203,161,9,153,253,0,false
924,100000205,9010021,"Wolf Spirit Ryko",337,161,9,287,380,0,false
945,101000003,1032001,"Grendel the Really Old",-7,-77,17,-57,43,0,true
1002,103000105,1052107,"Small Street Light",958,73,97,908,1008,0,true
1016,108000500,1072008,"Kyrin",-227,150,10,-277,-177,0,true
1059,103030200,9201130,"Demon's Doorway",1077,-1075,26,1027,1127,0,false
1140,105090000,1063013,"Shaman Rock",1977,-587,1531,1927,2016,0,false
1141,105090000,1063013,"Shaman Rock",845,2471,1537,795,880,0,false
1193,103040000,1052116,"Thompson",450,416,5,400,500,0,false
1194,103040000,1052122,"Tina",-213,89,25,-217,-163,0,false
1195,103040000,1052121,"Lana",-14,416,8,-51,36,0,false
1196,103040000,1052119,"Lala",-962,89,21,-1012,-924,0,false
1197,103040000,1052123,"Robby Fray",1075,416,16,1025,1076,0,false
1198,103040000,1052124,"Marshall",760,89,30,710,760,0,false
1199,103040000,1052120,"Maestro Rho",543,89,29,493,578,0,false
1234,105070000,1063012,"Shaman Rock",1968,-503,859,1934,2018,0,false
1341,140010111,9901900,NULL,-43,22,19,-93,7,0,false
1342,140010111,9901901,NULL,-399,-137,43,-449,-349,0,false
1343,140010111,9901902,NULL,-248,-137,43,-298,-198,0,false
1344,140010111,9901903,NULL,161,-137,43,111,211,0,false
1345,140010111,9901904,NULL,316,-137,43,266,366,0,false
1346,140010111,9901905,NULL,-397,-334,46,-447,-347,0,false
1347,140010111,9901906,NULL,-248,-334,46,-298,-198,0,false
1348,140010111,9901907,NULL,-42,-334,46,-92,8,0,false
1349,140010111,9901908,NULL,160,-334,46,110,210,0,false
1350,140010111,9901909,NULL,316,-334,46,266,366,0,false
1351,140010111,9010021,"Wolf Spirit Ryko",278,86,15,228,328,0,false
1496,103000007,9330021,false,274,66,39,224,324,0,false
1497,103000007,9330022,false,168,66,35,120,218,0,false
1498,103000007,9330023,false,-465,-114,1,-515,-415,0,false
1499,103000007,9330025,false,-773,96,55,-823,-723,0,false
1500,103000007,9330024,false,-583,-114,2,-633,-533,0,false
1572,104040002,9201131,"Demon's Doorway",138,-985,164,88,188,0,false
1706,100040000,1032112,"Talking Tree",399,-96,760,349,449,0,true
1790,109080003,9000012,"Harry",232,-203,488,182,282,0,false
1800,103000902,1052008,"Treasure Chest",107,553,10,57,157,0,false
1844,105040401,1061002,"Mr. Sweatbottom",137,107,46,87,187,0,false
1988,106010000,1072002,"Bowman Job Instructor",2554,-715,52,2504,2604,0,false
2032,105030000,1063003,"Wanted : G. Mushroom",310,165,45,260,360,0,false
2076,101000000,1032000,"Regular Cab",117,-36,957,67,167,0,false
2077,101000000,1032002,"Francois",276,-2093,622,226,326,0,false
2078,101000000,1032100,"Arwen the Fairy",-855,-1742,314,-905,-805,0,false
2079,101000000,1032101,"Rowen the Fairy",807,-1653,112,757,857,0,false
2080,101000000,1032003,"Shane",168,-2879,681,118,218,0,false
2081,101000000,1032005,"VIP Cab",740,-2693,641,690,790,0,false
2082,101000000,1032006,"Mr. Park",-30,-939,887,-80,20,0,false
2083,101000000,1032104,"Betty",-573,-944,108,-623,-523,0,false
2084,101000000,9010003,"Ria",-596,-52,601,-646,-546,0,true
2085,101000000,1032106,"Wing the Fairy",1113,-295,104,1063,1163,0,false
2086,101000000,9100101,"Gachapon",384,-1879,367,334,434,0,false
2087,101000000,9201024,"Nana(E)",-27,-1737,908,-77,23,0,false
2088,101000000,9010009,"Duey",322,-974,467,272,372,0,false
2089,101000000,9000020,"Spinel",92,-594,1056,42,142,0,false
2090,101000000,9250044,"Elinia Maple TV",216,-1199,1014,166,266,0,false
2091,101000000,9200000,"Cody",-125,-2565,555,-175,-75,0,false
2092,101000000,9000021,"Gaga",24,-1168,1071,-26,74,0,false
2093,101000000,9000040,"Dalair",453,-2652,584,403,503,0,false
2094,101000000,9000041,"Donation Box",352,-2642,581,302,402,0,false
2095,101000000,9000036,"Agent E",-79,-1164,1067,-129,-29,0,true
2096,101000000,1103003,"Hersha",1044,-784,222,994,1094,0,false
2097,101000000,1022101,"Rooney",136,297,45,86,186,0,false
2098,101000000,9010010,"Cassandra",578,-409,163,528,628,0,false
2099,101000000,9201121,"Lucci",-183,-3903,1208,-233,-133,0,false
2100,101000000,9250052,"News Stand",259,-2301,1028,209,309,0,false
2101,101000000,9000017,"Coco",905,76,96,855,955,0,false
2102,101000000,2041017,"Ace of Hearts",773,71,97,723,823,0,false
2103,101000000,9010022,"Dimensional Mirror",847,351,70,797,897,0,false
2134,100040106,1061009,"Door of Dimension",1090,-603,191,1040,1115,0,false
2174,108000302,1072004,"Warrior Job Instructor",821,2189,119,771,871,0,false
2175,130000200,1100000,"Kirium",1370,88,27,1320,1420,0,false
2176,130000200,9010009,"Duey",1138,88,30,1088,1188,0,false
2177,130000200,9010010,"Cassandra",1826,88,2,1776,1876,0,false
2178,130000200,9000021,"Gaga",1696,88,1,1646,1746,0,true
2179,130000200,9010000,"Maple Administrator",1527,88,29,1477,1577,0,false
2180,130000200,1100001,"Kiriyu",82,88,24,32,132,0,false
2181,130000200,1100002,"Kiriwing",730,88,35,680,780,0,false
2182,130000200,1022101,"Rooney",2877,20,122,2827,2927,0,false
2183,130000200,9250052,"News Stand",2609,88,11,2559,2659,0,false
2184,130000200,2041017,"Ace of Hearts",-480,88,44,-530,-430,0,false
2185,130000200,9000017,"Coco",-334,88,25,-384,-284,0,false
2213,108000502,1072008,"Kyrin",-227,150,10,-277,-177,0,true
2271,108000100,1072006,"Bowman Job Instructor",1389,817,199,1339,1439,0,false
2272,101000301,1032009,"Purin",2112,-29,16,2062,2162,0,false
2358,120000101,1090000,"Kyrin",174,66,1,124,198,0,false
2423,103000101,1052110,"Subway Trash Can",869,198,215,819,919,0,false
2424,103000101,1052111,"Subway Trash Can",1715,198,242,1665,1765,0,false
2425,103000101,1052112,"Subway Trash Can",2525,198,244,2475,2575,0,false
2426,103000101,1052109,"Subway Trash Can",111,198,226,61,161,0,false
2582,106000300,1040001,"Mike",-294,2025,23,-344,-244,0,false
2601,101000103,1032004,"Louis",804,128,5,757,854,0,false
2677,108000102,1072006,"Bowman Job Instructor",1389,817,199,1339,1439,0,false
2814,102000004,9901000,NULL,-1,35,5,-51,49,0,false
2815,102000004,9901001,NULL,-113,70,3,-152,-63,0,false
2816,102000004,9901002,NULL,113,70,4,63,163,0,false
2817,102000004,9901003,NULL,62,158,6,12,112,0,false
2818,102000004,9901004,NULL,-42,158,6,-92,8,0,false
2819,102000004,9901005,NULL,-147,158,6,-197,-97,0,false
2820,102000004,9901006,NULL,156,158,6,106,206,0,false
2821,102000004,9901007,NULL,259,158,6,209,309,0,false
2822,102000004,9901008,NULL,-241,158,6,-291,-191,0,false
2823,120000202,1092015,"Water Filter",492,150,29,442,522,0,false
2824,108000700,1203000,"Sir Blacksmith",59,543,7,9,109,0,true
2891,101040000,1022105,"Power B. Fore",-488,1305,151,-538,-438,0,false
2960,108000202,1072005,"Magician Job Instructor",90,-2225,329,40,140,0,false
2990,103000801,9020002,"Nella",-1373,105,8,-1423,-1323,0,true
2991,103000801,9020001,"Cloto",-348,90,82,-398,-298,0,false
3087,107000100,1052104,"Tulcus",826,-181,245,776,868,0,false
3188,102000001,1021000,"River",-298,140,11,-318,-248,0,true
3189,102000001,1021001,"Harry",-253,140,11,-303,-203,0,true
3287,105050000,1063014,"Mysterious Piece of Paper",675,175,304,625,725,0,false
3307,102000002,1021100,"Arturo",-16,121,1,-22,-1,0,false
3308,102000002,1022100,"Sophia",-303,139,15,-353,-253,0,true
